yearID,player,team,position,salary
2024,Evan Phillips,LAD,RP/CL,4000000
2024,Austin Slater,BAL,LF,4000000
2024,Ryne Stanek,NYM,RP,4000000
2024,Justin Steele,CHC,SP/SP5,4000000
2024,Chris Stratton,KC,RP,4000000
2024,Evan White,LAA,1B,4000000
2024,Nestor Cortes,NYY,SP/SP4,3950000
2024,Ryan Yarbrough,TOR,RP,3900000
2024,Ryan Helsley,STL,RP/CL,3800000
2024,José Urquidy,HOU,SP/SP5,3750000
2024,Jose Leclerc,TEX,RP,3687500
2024,Seranthony Dominguez,BAL,RP,3625000
2024,Shane McClanahan,TB,SP/SP1,3600000
2024,Austin Barnes,LAD,C,3500000
2024,Mauricio Dubon,HOU,RF,3500000
2024,Luke Maile,CIN,C,3500000
2024,Ryan O'Hearn,BAL,1B/DH/OF,3500000
2024,LaMonte Wade Jr.,SF,1B,3500000
2024,Paul Blackburn,NYM,SP,3450000
2024,Isaac Paredes,CHC,3B,3400000
2024,Shintaro Fujinami,NYM,RP,3350000
2024,Dane Dunning,TEX,SP,3325000
2024,Tony Gonsolin,LAD,SP,3325000
2024,John Means,BAL,SP/SP1,3325000
2024,Willi Castro,MIN,CF,3300000
2024,Andrew Vaughn,CHW,1B/OF,3250000
2024,Caleb Thielbar,MIN,RP,3225000
2024,Aaron Bummer,ATL,RP,3200000
2024,Brendan Rodgers,COL,2B,3200000
2024,Tyler Rogers,SF,RP/SU7,3200000
2024,Austin Gomber,COL,SP/SP4,3150000
2024,Michael King,SD,SP,3150000
2024,Scott McGough,ARI,RP,3125000
2024,Freddy Peralta,MIL,SP,3100000
2024,Josh Rojas,SEA,3B/OF/2B,3100000
2024,Jonah Heim,TEX,C,3050000
2024,David Bote,CHC,2B,3000000
2024,Mike Clevinger,CHW,SP/SP4,3000000
2024,Adam Duvall,ATL,RF,3000000
2024,Michael Kopech,LAD,RP,3000000
2024,Tommy Pham,KC,RF,3000000
2024,Michael Soroka,CHW,SP,3000000
2024,Brent Suter,CIN,RP,3000000
2024,Gary Sánchez,MIL,DH/C,3000000
2024,Dylan Moore,SEA,2B,2958333
2024,Chas McCormick,HOU,CF,2850000
2024,Lucas Sims,BOS,RP/SU8,2850000
2024,Alejandro Kirk,TOR,C,2800000
2024,Erik Swanson,TOR,RP/SU8,2750000
2024,Jose Trevino,NYY,C,2730000
2024,Santiago Espinal,CIN,3B,2725000
2024,Patrick Wisdom,CHC,3B,2725000
2024,Jason Adam,TB,RP/SU8,2700000
2024,Brusdar Graterol,LAD,RP,2700000
2024,Jorge Mateo,BAL,SS,2700000
2024,Tarik Skubal,DET,SP/SP3,2650000
2024,Andrew Kittredge,STL,RP,2630000
2024,Jazz Chisholm,NYY,3B,2625000
2024,Seth Brown,OAK,LF/1B/RF,2600000
2024,Griffin Canning,LAA,SP/SP4,2600000
2024,Leody Taveras,TEX,CF,2550000
2024,Tyler Stephenson,CIN,C,2525000
2024,Yasmani Grandal,PIT,C,2500000
2024,Jonathan Loaisiga,NYY,RP,2500000
2024,Trevor Stephan,CLE,RP,2500000
2024,Naoyuki Uwasawa,BOS,P,2500000
2024,Orlando Arcia,ATL,SS,2433333
2024,Ryan Jeffers,MIN,C,2425000
2024,Caleb Ferguson,HOU,RP/SU8,2400000
2024,Colin Poche,TB,RP/SU7,2375000
2024,Kris Bubic,KC,RP,2350000
2024,Dylan Carlson,TB,LF,2350000
2024,Hunter Harvey,KC,RP/SU8,2325000
2024,Danny Coulombe,BAL,RP,2300000
2024,JT Brubaker,NYY,SP/SP2,2275000
2024,Scott Alexander,OAK,RP,2250000
2024,Buck Farmer,CIN,RP,2250000
2024,Woo-Suk Go,MIA,RP,2250000
2024,Drew Smith,NYM,RP,2225000
2024,Jeff Hoffman,PHI,RP,2200000
2024,Kyle Higashioka,SD,C,2180000
2024,Jake Fraley,CIN,DH,2150000
2024,David Peterson,NYM,SP,2150000
2024,Trevor Richards,MIN,RP,2150000
2024,Dustin May,LAD,SP,2135000
2024,Jon Berti,NYY,2B,2125000
2024,Connor Joe,PIT,1B/RF,2125000
2024,Adbert Alzolay,CHC,RP/CL,2110000
2024,Jesús Sánchez,MIA,LF,2100000
2024,Ramon Urias,BAL,3B/SS,2100000
2024,Tyler Kinley,COL,RP,2083333
2024,Hoby Milner,MIL,RP,2050000
2024,Clarke Schmidt,NYY,SP,2025000
2024,Tyrone Taylor,NYM,CF,2025000
2024,Carlos Carrasco,CLE,SP/SP4,2000000
2024,Randal Grichuk,ARI,RF,2000000
2024,Garrett Hampson,KC,SS,2000000
2024,Daniel Hudson,LAD,RP,2000000
2024,Cole Irvin,MIN,RP,2000000
2024,Rob Refsnyder,BOS,RF,2000000
2024,Jacob Stallings,COL,C,2000000
2024,Spencer Turnbull,PHI,SP,2000000
2024,Luke Weaver,NYY,RP,2000000
2024,Jesse Winker,NYM,LF,2000000
2024,Tyler Wells,BAL,SP,1962500
2024,Tyler Alexander,TB,RP,1950000
2024,Luis Garcia,WSH,2B,1950000
2024,Mike Tauchman,CHC,CF,1950000
2024,Yency Almonte,CHC,RP,1900000
2024,James Karinchak,CLE,RP/SU8,1900000
2024,Luis Garcia,HOU,SP/SP4,1875000
2024,Andres Munoz,SEA,RP/CL,1875000
2024,Drew Rasmussen,TB,RP,1862500
2024,Randy Dobnak,MIN,RP,1850000
2024,Zack Littell,TB,SP,1850000
2024,Andrew Knizner,ARI,C,1825000
2024,Nick Madrigal,CHC,2B,1810000
2024,A.J. Puk,ARI,RP,1800000
2024,Kyle Wright,KC,SP,1800000
2024,Bryan Abreu,HOU,RP/SU7,1750000
2024,Paul DeJong,KC,3B,1750000
2024,Chris Flexen,CHW,SP,1750000
2024,Joe Ross,MIL,RP,1750000
2024,Miguel Andujar,OAK,3B,1700000
2024,Travis Jankowski,TEX,DH,1700000
2024,Jake Rogers,DET,C,1700000
2024,Edmundo Sosa,PHI,3B,1700000
2024,Jalen Beeks,PIT,RP,1675000
2024,Joey Lucchesi,NYM,SP,1650000
2024,Joel Payamps,MIL,RP,1650000
2024,Ryan Borucki,PIT,RP,1600000
2024,Triston McKenzie,CLE,SP/SP5,1600000
2024,Akil Baddoo,DET,LF,1550000
2024,Trevor Rogers,BAL,SP/SP2,1530000
2024,Genesis Cabrera,TOR,RP,1512500
2024,Tyler Beede,CLE,RP,1500000
2024,Trevor Gott,OAK,RP/SU7,1500000
2024,Robbie Grossman,KC,RF,1500000
2024,Dakota Hudson,COL,SP,1500000
2024,Jose Iglesias,NYM,3B,1500000
2024,Derek Law,WSH,RP,1500000
2024,Mark Leiter Jr.,NYY,RP/CL,1500000
2024,Dominic Leone,CHW,RP,1500000
2024,T.J. McFarland,OAK,RP,1500000
2024,Reese McGuire,BOS,C,1500000
2024,Tanner Rainey,WSH,RP,1500000
2024,Amed Rosario,CIN,SS,1500000
2024,Dillon Tate,TOR,RP,1500000
2024,Lou Trivino,NYY,RP,1500000
2024,José Ureña,TEX,RP,1500000
2024,Justin Wilson,CIN,RP,1500000
2024,D.J. Stewart,NYM,DH,1380000
2024,Jake Bauers,MIL,1B/OF,1350000
2024,Alex Kirilloff,MIN,1B/OF,1350000
2024,Edward Olivares,PIT,LF,1350000
2024,Ryan Thompson,ARI,RP,1350000
2024,Touki Toussaint,CHW,RP,1300000
2024,J.T. Chargois,SEA,RP,1285000
2024,Abraham Toro,OAK,3B,1275000
2024,Taylor Clarke,MIL,RP,1250000
2024,Brent Honeywell,LAD,RP,1250000
2024,Peter Lambert,COL,RP,1250000
2024,Justin Topa,MIN,RP/SU8,1250000
2024,Austin Voth,SEA,RP,1250000
2024,Jonathan Hernandez,SEA,RP/SU7,1245000
2024,Kevin Ginkel,ARI,RP,1225000
2024,Gavin Lux,LAD,2B,1225000
2024,Ben Gamel,HOU,LF,1200000
2024,Cionel Perez,BAL,RP,1200000
2024,Trent Thornton,SEA,RP,1200000
2024,Trey Wingenter,CHC,RP,1200000
2024,Julian Merryweather,CHC,RP,1175000
2024,John Schreiber,KC,RP/SU8,1175000
2024,Sam Hentges,CLE,RP,1162500
2024,Enyel De Los Santos,CHW,RP,1160000
2024,Alex Young,NYM,RP/SU7,1160000
2024,Josh Taylor,KC,RP,1100000
2024,Ildemaro Vargas,WSH,2B,1100000
2024,Nick Sandlin,CLE,RP,1075000
2024,Steven Okert,MIN,RP,1062500
2024,Brock Burke,LAA,RP,1035000
2024,Josh Sborz,TEX,RP,1025000
2024,Carlos Hernandez,KC,RP,1012500
2024,John King,STL,RP,1005000
2024,Nick Ahmed,SD,SS,1000000
2024,Kolby Allard,PHI,SP,1000000
2024,Chase Anderson,TEX,RP,1000000
2024,Félix Bautista,BAL,RP/CL,1000000
2024,Ty Blach,COL,SP,1000000
2024,John Brebbia,ATL,RP,1000000
2024,Nick Burdi,NYY,RP,1000000
2024,Willie Calhoun,LAA,OF,1000000
2024,Curt Casali,SF,C,1000000
2024,Diego Castillo,MIN,RP,1000000
2024,Jake Cave,COL,RF,1000000
2024,Cooper Criswell,BOS,SP,1000000
2024,Elias Diaz,SD,C,1000000
2024,Matt Duffy,TEX,3B,1000000
2024,Anthony Gose,CLE,RP,1000000
2024,Yulieski Gurriel,KC,1B,1000000
2024,Eric Haase,MIL,C,1000000
2024,Billy McKinney,PIT,OF,1000000
2024,Danny Mendick,CHW,2B/SS,1000000
2024,Kevin Newman,ARI,SS,1000000
2024,David Peralta,SD,LF,1000000
2024,Kevin Pillar,LAA,CF,1000000
2024,Jurickson Profar,SD,LF,1000000
2024,Erasmo Ramirez,TB,RP,1000000
2024,Jose Ruiz,PHI,RP,1000000
2024,Pavin Smith,ARI,OF/1B,1000000
2024,Donovan Solano,SD,DH/SS,1000000
2024,Michael Tonkin,MIN,RP,1000000
2024,Luis Torrens,NYM,C,1000000
2024,Alex Vesia,LAD,RP,1000000
2024,Jacob Webb,BAL,RP,1000000
2024,Bryse Wilson,MIL,RP,1000000
2024,Austin Nola,KC,C,975000
2024,Jake Brentz,KC,RP,950000
2024,Austin Wynns,CIN,C,950000
2024,Joe Mantiply,ARI,RP,925000
2024,José Suarez,LAA,RP,925000
2024,Ian Hamilton,NYY,RP,923050
2024,Nick Gordon,MIA,SS,900000
2024,Sam Haggerty,SEA,2B,900000
