▼,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
702,Freddie Freeman*,35,LAD,NL,3.5,147,627,556,81,164,39,2,24,90,6,2,60,128,0.295,0.367,0.502,0.869,143,0.376,141,279,13,6,0,5,7,*3/H,"AS,MVP-13"
704,Bo Bichette,27,TOR,AL,3.5,139,628,582,78,181,44,1,18,94,4,3,40,91,0.311,0.357,0.483,0.84,129,0.364,132,281,17,3,0,3,2,*6/DH,MVP-16
706,CJ Abrams*,24,WSN,NL,3.4,144,635,580,92,149,35,5,19,60,31,3,37,125,0.257,0.315,0.433,0.748,111,0.338,111,251,5,14,1,3,1,*6/HD,
720,Yandy Díaz,33,TBR,AL,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,0.3,0.366,0.482,0.848,135,0.364,136,281,12,6,0,5,4,*D3,MVP-18
755,Pete Alonso,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,0.272,0.347,0.524,0.871,144,0.371,142,327,23,15,0,9,5,*3/D,"AS,MVP-11,SS"
475,Colson Montgomery*,23,CHW,AL,3.3,71,284,255,43,61,9,1,21,55,0,0,25,83,0.239,0.311,0.529,0.84,130,0.357,131,135,3,2,0,1,1,65/H,ROY-5
582,Drake Baldwin*,24,ATL,NL,3.3,124,446,405,56,111,18,2,19,80,0,0,38,68,0.274,0.341,0.469,0.81,127,0.358,130,190,9,3,0,0,0,2HD,ROY-1
640,Marcus Semien,34,TEX,AL,3.3,127,534,470,62,108,16,1,15,62,11,1,50,93,0.23,0.305,0.364,0.669,96,0.301,100,171,8,5,0,9,0,*4,GG
560,Wilyer Abreu*,26,BOS,AL,3.2,115,417,373,53,92,17,0,22,69,6,3,40,101,0.247,0.317,0.469,0.786,116,0.332,112,175,8,0,1,3,5,9H/D,GG
699,Xavier Edwards#,25,MIA,NL,3.2,139,619,561,75,159,20,5,3,43,27,7,49,88,0.283,0.343,0.353,0.695,95,0.317,93,198,6,3,3,3,2,46/HD,
489,Roman Anthony*,21,BOS,AL,3.1,71,303,257,48,75,18,1,8,32,4,1,40,84,0.292,0.396,0.463,0.859,140,0.375,142,119,2,5,0,1,0,97D/H,ROY-3
569,Brett Baty*,25,NYM,NL,3.1,130,432,393,53,100,13,2,18,50,8,0,33,108,0.254,0.313,0.435,0.748,111,0.336,113,171,6,2,0,3,0,54H/D,
574,Matt Shaw,23,CHC,NL,3.1,126,437,393,57,89,21,3,13,44,17,5,38,94,0.226,0.295,0.394,0.69,99,0.309,99,155,2,2,0,4,0,*5/H4,ROY-9
603,Dillon Dingler,26,DET,AL,3.1,126,469,435,54,121,21,2,13,57,0,0,23,110,0.278,0.327,0.425,0.752,108,0.329,109,185,5,9,0,1,2,*2/HD,GG
678,Bryce Harper*,32,PHI,NL,3.1,132,580,501,72,131,32,0,27,75,12,2,70,121,0.261,0.357,0.487,0.844,129,0.367,127,244,5,6,0,3,6,*3/D,
696,Josh Naylor*,28,2TM,2LG,3.1,147,604,543,81,160,29,1,20,92,30,2,48,83,0.295,0.353,0.462,0.816,127,0.365,128,251,17,4,0,5,4,*3D/H,
712,Christian Yelich*,33,MIL,NL,3.1,150,644,573,88,151,21,0,29,103,16,6,64,167,0.264,0.343,0.452,0.795,122,0.35,121,259,6,6,0,1,6,*D7/H,MVP-12
556,Ronald Acuña Jr.,27,ATL,NL,3,95,412,338,74,98,12,1,21,42,9,1,71,102,0.29,0.417,0.518,0.935,164,0.407,162,175,5,3,0,0,4,9/DH,AS
631,Jacob Wilson,23,ATH,AL,3,125,523,486,62,151,26,0,13,63,5,2,27,39,0.311,0.355,0.444,0.8,119,0.354,127,216,16,7,2,1,1,*6/D,"AS,MVP-18,ROY-2"
665,Josh Smith*,27,TEX,AL,3,144,563,495,70,124,23,2,10,35,12,3,55,100,0.251,0.335,0.366,0.7,106,0.318,113,181,3,8,3,1,2,653HD/7948,
693,Sal Frelick*,25,MIL,NL,3,142,594,528,76,152,20,3,12,63,19,6,47,80,0.288,0.351,0.405,0.756,112,0.335,110,214,4,7,3,5,0,*98/H35,
486,Myles Straw,30,TOR,AL,2.9,137,299,267,51,70,14,1,4,32,12,1,19,50,0.262,0.313,0.367,0.68,87,0.311,87,98,5,1,11,1,0,*87H9/4,
530,José Caballero,28,2TM,AL,2.9,126,370,314,52,74,18,1,5,36,49,11,47,98,0.236,0.339,0.347,0.686,93,0.331,100,109,1,3,4,2,0,6954H7/D81,
703,Gleyber Torres,28,DET,AL,2.9,145,628,532,79,136,22,0,16,74,4,1,85,101,0.256,0.358,0.387,0.745,108,0.336,113,206,11,4,0,7,0,*4D/H,AS
721,Brandon Nimmo*,32,NYM,NL,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,0.262,0.324,0.436,0.76,114,0.335,113,256,8,7,1,7,1,*7/8DH,
466,Daulton Varsho*,28,TOR,AL,2.8,71,271,248,43,59,13,2,20,55,2,0,17,77,0.238,0.284,0.548,0.833,122,0.343,116,136,1,1,0,5,1,8/HD,
509,Danny Jansen,30,2TM,2LG,2.8,98,337,288,38,62,11,0,14,36,0,0,42,86,0.215,0.321,0.399,0.721,101,0.321,104,115,5,4,1,2,0,2H/D,
625,Caleb Durbin,25,MIL,NL,2.8,136,506,445,60,114,25,0,11,53,18,6,30,50,0.256,0.334,0.387,0.721,102,0.33,106,172,10,24,3,4,0,*54H/6,ROY-3
626,Zach McKinstry*,30,DET,AL,2.8,144,511,452,68,117,23,11,12,49,19,5,46,111,0.259,0.333,0.438,0.771,113,0.336,111,198,6,7,1,5,1,5697H/4D13,"AS,SS"
663,Mike Yastrzemski*,34,2TM,2LG,2.8,146,558,477,68,111,28,1,17,46,7,2,72,108,0.233,0.333,0.403,0.735,108,0.328,111,192,7,2,2,5,4,*9H8/7D1,
608,Jackson Merrill*,22,SDP,NL,2.7,115,483,440,59,116,25,6,16,67,1,2,33,108,0.264,0.317,0.457,0.774,113,0.331,108,201,4,4,1,5,1,*8/H,
629,Brendan Donovan*,28,STL,NL,2.7,118,515,460,64,132,32,0,10,50,3,3,42,67,0.287,0.353,0.422,0.775,120,0.338,118,194,4,7,2,4,3,47/6DH,AS
655,Adolis García,32,TEX,AL,2.7,135,547,507,58,115,28,0,19,75,13,4,28,135,0.227,0.271,0.394,0.665,92,0.291,94,200,9,5,0,7,1,*9/DH,
670,Yainer Diaz,26,HOU,AL,2.7,143,567,542,56,139,25,1,20,70,1,1,20,95,0.256,0.284,0.417,0.701,92,0.309,94,226,13,2,0,3,2,*2D/H,
732,Taylor Ward,31,LAA,AL,2.7,157,663,579,86,132,31,2,36,103,4,1,75,175,0.228,0.317,0.475,0.792,116,0.342,117,275,13,3,0,6,1,*7/DH,
495,Taylor Walls#,28,TBR,AL,2.6,101,317,282,36,62,14,1,4,38,14,6,26,70,0.22,0.28,0.319,0.599,67,0.269,66,90,1,0,3,6,0,6/H45D,
581,Carlos Narváez,26,BOS,AL,2.6,118,446,403,51,97,27,0,15,50,1,1,38,111,0.241,0.306,0.419,0.726,100,0.311,97,169,12,1,2,2,0,*2/HD,ROY-6
633,Jorge Polanco#,31,SEA,AL,2.6,138,524,471,64,125,30,0,26,78,6,3,42,82,0.265,0.326,0.495,0.821,131,0.348,134,233,7,3,3,5,1,D4H/53,
718,Seiya Suzuki,30,CHC,NL,2.6,151,651,571,75,140,31,3,32,103,5,2,71,164,0.245,0.326,0.478,0.804,131,0.348,129,273,13,1,0,8,1,D97/H8,MVP-20
656,J.T. Realmuto,34,PHI,NL,2.5,134,550,502,57,129,26,1,12,52,8,2,35,129,0.257,0.315,0.384,0.7,91,0.312,89,193,13,9,0,3,1,*2/DH,
666,Willson Contreras,33,STL,NL,2.5,135,563,490,70,126,31,1,20,80,5,1,44,142,0.257,0.344,0.447,0.791,123,0.349,123,219,15,23,1,4,1,*3D,
512,Sean Murphy,30,ATL,NL,2.4,94,337,291,34,58,13,0,16,45,0,0,35,105,0.199,0.3,0.409,0.709,99,0.314,99,119,9,8,0,3,1,2H/D,
